								HMDB0003175	HMDB0006245	HMDB0244869	HMDB0245244	HMDB0037544	HMDB0036169	HMDB0000528	HMDB0062738	HMDB0000201	HMDB0040551	HMDB0304536	HMDB0002212	HMDB0000063	HMDB0001051	HMDB0000131	HMDB0010381	HMDB0010390	HMDB0000156	HMDB0242001	HMDB0255110	HMDB0062342	HMDB0002088	HMDB0013648	HMDB0002100	HMDB0029006	HMDB0002752	HMDB0001403	HMDB0001442	HMDB0001220	HMDB0002664	HMDB0030569	HMDB0003252	HMDB0014447	HMDB0000929	HMDB0029090
Sample #	Cow ID	Hair_Coat	MY	VT	RI	Diameter	Total_MBF	15-Keto-prostaglandin E2	18-Hydroxyarachidonic acid	1H-1,2,4-Triazole-3-carboxamide	2-(3-Mercaptopropyl)pentanedioic acid	2-Dodecylcyclobutanone	3-(5-Methyl-2-furanyl)butanal	4,5-Dihydroorotic acid	9-Nitrooctadecenoic Acid	Acetylcarnitine	alpha-Amino-1H-pyrrole-1-hexanoic acid	alpha-Xylose 1-phosphate	Arachidic acid	Cortisol	Glyceraldehyde	Glycerol	LysoPC(15:0/0:0)	LysoPC(20:0/0:0)	Malic acid	N-Arachidonoyl Phenylalanine	N-Demethylencainide	N-Stearoyl phenylalanine	Oleoylethanolamide	Palmitoleoylethanolamide	Palmitoylethanolamide	Phenylalanyltryptophan	Prostaglandin A2	Prostaglandin D2	Prostaglandin E1	Prostaglandin E2	Prostaglandin E3	Swertiajaponin	Thromboxane B2	Tranexamic Acid	Tryptophan	Tryptophyl-Phenylalanine
3	2116	WT	19.09090909	40.054	0.6375	1.2925	8667.546605	28.88854945	3.219929781	670.5574173	2245.931673	90.39096331	28.26428384	268.5875566	14.10303906	717.3673066	284.4050917	251.9910626	333.0510377	43.81827778	18832.46314	237.4263981	1264.820664	2.411081264	509.7717895	395.3246664	50.66094198	6.330295601	22.8632073	1607.936666	87.38162421	50.82146618	18.0101998	33.62212864	25.62416598	121.6557409	49.10485672	1.614506253	4.168397366	7.673759448	14.3126841	18.52093537
4	2058	WT	21.36363636	40.101	0.64	1.256666667	11153.74122	17.00681913	22.57613423	650.8526923	2877.766425	60.53750608	25.64880058	410.3848749	30.41666049	783.1928726	232.0632094	401.1899912	271.2823112	33.66627465	19154.35275	347.9338944	932.7674709	0.753937917	723.110156	400.4989213	38.75325888	4.365763241	16.94914253	1503.208268	66.46934866	50.1484136	30.73930457	21.43494545	27.9383824	45.2241187	19.73215623	10.85747199	4.327319541	12.32983232	15.0275198	14.15787474
5	2171	SLICK	21.81818182	39.708	0.4375	1.0975	10207.69519	36.92649391	2.553369886	737.6993132	2147.210871	78.61196179	45.63434703	490.0469606	41.62454681	680.6370043	302.1689274	242.313361	258.9440282	45.29190118	14079.48105	264.0708074	1305.678305	5.753069826	260.699376	385.0458129	19.18340116	18.89202271	8.723796935	1650.49782	79.82689973	52.54347732	15.28296884	70.46788744	33.76696633	23.80301695	33.58149398	293.6562366	16.19037413	4.737322528	7.101866157	14.38879557
6	2129	SLICK	20	38.283	0.66	1.213333333	5921.355552	86.90695982	5.974861563	607.2169288	2788.663919	67.49062309	63.69490229	429.7375196	18.62541013	402.3578294	244.1707719	385.4474289	336.0596387	20.82328858	19515.7548	198.9021992	1918.301625	9.899753828	532.5896565	856.7215652	28.62761924	37.76263076	8.064129695	1371.781596	78.69709481	48.16955729	13.21152364	208.1185907	120.4882667	358.790462	66.67803831	248.8049863	33.08079421	9.857052771	7.11090857	14.62049806
7	2202	SLICK	20.90909091	39.672	0.5275	1.32	7686.112299	47.23090364	2.004182952	856.7784619	1208.852925	58.37988274	25.57000008	345.419778	28.58947654	301.781966	294.6241563	454.2131126	208.9393651	41.22218974	9848.728934	194.7517098	109.7103576	5.253628147	253.0897617	556.9606146	19.15086582	14.8982335	5.371468505	1182.566764	62.28861316	69.70138876	14.12507901	62.30133355	34.94346004	223.5882554	31.04903335	229.1665829	9.4157437	5.039529692	5.137260948	27.33198948
8	466	SLICK	31.81818182	39.149	0.5725	1.45	9762.971303	83.91280985	3.475328691	783.5855119	2155.134268	58.04538323	67.57053246	509.8347146	15.43106557	415.0625427	301.4250677	246.9569915	226.6158564	37.69705799	14940.98311	223.0634972	1367.198831	8.803132289	262.5465305	815.6376739	15.23838036	30.36406932	3.665243246	933.2161315	56.84898347	117.8042706	19.17256033	80.00776918	78.02474783	331.6316704	73.75254579	254.0609044	34.39733903	3.921762519	3.485611898	37.48053505
9	2068	WT	21.36363636	39.915	0.6475	1.1475	3312.755962	42.90845599	6.451877963	508.3046312	3708.661722	80.64799251	32.99187095	414.4259181	12.20711569	735.5895287	264.6329239	411.3190763	318.9402012	99.31208524	24627.6588	288.7030047	1283.479211	1.832398329	700.0369391	326.9754843	42.24475928	5.648733409	20.17263329	2413.755532	82.34895287	93.85461105	29.70478849	44.30808689	45.9996284	181.2346624	43.54684805	128.6830756	6.769968519	12.98478861	11.05985158	31.36936551
10	2041	SLICK	20.45454545	38.945	0.555	1.355	9187.045775	20.36358754	0.821742445	562.9518152	2277.391213	60.01097077	17.94610259	327.1609007	41.80821385	179.2918632	352.654442	150.8969558	250.462266	57.50005745	18428.82	212.328832	907.2897427	8.321815025	299.1693938	445.8060529	13.4149265	31.70105458	4.480399737	615.8533277	59.09950895	114.1695785	20.73701757	26.176316	18.62966537	92.04752275	18.70472717	595.3729529	3.034594001	2.558595506	3.087288604	30.53790373
11	2128	SLICK	24.54545455	39.179	0.6275	1.6225	12910.32032	70.50845494	0.493103334	758.754854	780.0828247	57.15857518	52.08539318	429.1131576	31.8527711	337.3665016	339.1189233	103.6229407	198.6960232	35.69438888	9117.477206	207.7377138	1812.399436	7.965684903	222.9801239	808.8389418	11.69162388	44.37665246	6.98354768	931.3334345	54.76782353	213.266793	12.4822683	83.22209175	49.21615307	391.2824967	103.9197311	297.2503591	16.64109443	3.161262688	3.468895493	72.35063995
12	2273	WT	20.90909091	39.555	0.74	1.0175	2568.207475	35.87739063	23.8108647	724.6996771	8378.767037	62.87242716	39.27099711	383.1090332	6.185762202	855.1848535	207.8056961	674.0586939	217.5654297	83.27676927	40412.10553	285.9420856	128.020193	1.177400688	1471.392511	587.887602	35.14904328	10.29696799	17.19094844	1955.219646	63.25235186	21.75478029	49.85590475	46.0874573	25.69722873	130.1370548	28.49683969	152.119103	7.79240066	38.38559218	16.22049401	4.055542674
13	2226	WT	18.18181818	39.102	0.6025	0.8825	3516.306855	19.36010311	10.702043	545.0387043	2415.755321	84.36304088	26.32585047	334.3073198	6.361910114	406.2173236	274.6809658	1006.911748	338.0101588	8.444862626	12440.28018	218.8978772	131.0066996	2.498969002	418.2285521	408.3353691	66.18005186	17.61961488	19.77996948	2223.597567	84.30159381	71.80072673	50.22719728	21.49154271	36.60824626	66.23191033	18.64448748	201.4592421	7.904250087	6.791843982	9.232554598	17.5381957
15	2287	SLICK	26.81818182	39.253	0.5125	1.0925	7591.773862	67.34867093	2.999758922	980.9689903	1934.547202	58.78210428	61.94052313	513.6939301	29.97284915	526.3882632	261.2588376	264.6899822	171.9515719	65.36736749	15831.77445	237.1071489	2062.692293	11.84600297	534.1007101	818.2838447	7.486043029	40.02217544	3.616593824	769.3027884	50.97788611	110.0871176	19.20760776	116.1619435	95.36369739	178.2930975	89.163622	320.256364	13.04021848	9.022256965	5.612827314	29.57073306
16	2089	WT	16.81818182	40.006	0.63	0.823333333	1625.32563	13.91633909	6.704864093	494.8926155	4010.463295	84.45236322	20.2912304	312.3577062	13.264702	581.4955105	272.5920523	353.1169577	337.9949463	103.8142299	30828.39247	300.4133293	156.6365942	1.070987146	636.5083696	515.3105284	39.38204873	22.19886722	23.60224764	2060.105997	85.62606995	46.84464191	48.95339063	12.93672281	1.600646855	19.65306198	11.80922784	255.8872198	1.381219708	12.09450283	4.358100576	14.29016759
